大政奉還,13321,たいせいほうかん,restoration of imperial rule
日本全国,13333,にほんぜんこく,all over Japan
危機一髪,13381,ききいっぱつ,by a hair's breadth
守秘義務,13448,しゅひぎむ,duty of confidentiality (concerning private matters learned through one's business)
緊急配備,13480,きんきゅうはいび,emergency deployment (police
養子縁組,13494,ようしえんぐみ,adoption (of an heir)
血液検査,13547,けつえきけんさ,blood test
事故現場,13567,じこげんば,scene of an accident
単独行動,13579,たんどくこうどう,independent action
医科大学,13716,いかだいがく,medical school
自殺未遂,13761,じさつみすい,attempted suicide
結婚指輪,13820,けっこんゆびわ,wedding ring
一番弟子,13830,いちばんでし,the (one's) best pupil
仲間同士,13834,なかまどうし,peers
料理教室,13864,りょうりきょうしつ,cooking class
起死回生,13904,きしかいせい,revival from the brink of death
世界各国,13919,せかいかっこく,countries all over the world
日常生活,13953,にちじょうせいかつ,everyday life
答案用紙,13972,とうあんようし,answer sheet
駄目駄目,13992,だめだめ,entirely useless
麻酔科医,13994,ますいかい,anesthesiologist
一世一代,13996,いっせいちだい,once in a lifetime
唯一無二,14012,ゆいいつむに,one and only
移植手術,14043,いしょくしゅじゅつ,transplant surgery
世界平和,14145,せかいへいわ,world peace
中華料理,14147,ちゅうかりょうり,Chinese cooking
医療機器,14152,いりょうきき,medical equipment
幼稚園児,14166,ようちえんじ,kindergartener
意気投合,14169,いきとうごう,hit it off with (a person)
偽装工作,14229,ぎそうこうさく,diversionary tactics (maneuvering)
先制攻撃,14230,せんせいこうげき,preemptive strike
秘密結社,14286,ひみつけっしゃ,secret society
難攻不落,14308,なんこうふらく,impregnable
一寸法師,14472,いっすんぼうし,dwarf
単身赴任,14486,たんしんふにん,job transfer away from one's home
次回予告,14514,じかいよこく,preview of next installment (TV shows
民主主義,14517,みんしゅしゅぎ,democracy
産婦人科,14528,さんふじんか,maternity and gynaecology department (gynecology)
登場人物,14531,とうじょうじんぶつ,character (in a play or novel)
誤認逮捕,14551,ごにんたいほ,mistaken arrest
世界最大,14568,せかいさいだい,world's largest
日本政府,14606,にほんせいふ,Japanese government
天下御免,14664,てんかごめん,licensed
契約社員,14665,けいやくしゃいん,contract employee
殺人現場,14689,さつじんげんば,murder scene
遺産相続,14720,いさんそうぞく,inheritance
