交換留学生,35844,こうかんりゅうがくせい,exchange student
優勝決定戦,35884,ゆうしょうけっていせん,deciding match (in a competition for a cup (pennant))
内視鏡手術,35902,ないしきょうしゅじゅつ,endoscopic surgery
少子化対策,36057,しょうしかたいさく,countermeasures to the falling birthrate
指定暴力団,36142,していぼうりょくだん,designated organized crime group
火炎放射器,36295,かえんほうしゃき,flamethrower
身代金要求,36514,みのしろきんようきゅう,ransom demand
不動産業者,36710,ふどうさんぎょうしゃ,real estate agent
公務員試験,36792,こうむいんしけん,civil service examination
地方裁判所,36875,ちほうさいばんしょ,district court
放射線科医,37045,ほうしゃせんかい,radiologist
特別攻撃隊,37162,とくべつこうげきたい,special attack unit
瞬間接着剤,37198,しゅんかんせっちゃくざい,(tube of) instant glue
経済産業省,37246,けいざいさんぎょうしょう,Ministry of Economy
関東大震災,37386,かんとうだいしんさい,Great Kanto earthquake of 1923
上腕二頭筋,37529,じょうわんにとうきん,biceps brachii muscle
中間管理職,37543,ちゅうかんかんりしょく,middle management
子宮外妊娠,37779,しきゅうがいにんしん,ectopic pregnancy
宇宙望遠鏡,37786,うちゅうぼうえんきょう,space telescope
手持無沙汰,37894,てもちぶさた,being bored
料理評論家,37928,りょうりひょうろんか,food critic
日本国憲法,37932,にほんこくけんぽう,constitution of Japan
日本語学校,37933,にほんごがっこう,Japanese language school
業務上横領,37983,ぎょうむじょうおうりょう,corporate embezzlement
永久保存版,38018,えいきゅうほぞんばん,permanent edition
津波注意報,38030,つなみちゅういほう,tsunami advisory
非常用電源,38382,ひじょうようでんげん,emergency power supply
予算委員会,38542,よさんいいんかい,Budget Committee (of the Upper and Lower Houses of the Diet); budget committee
住居侵入罪,38570,じゅうきょしんにゅうざい,breaking and entering
出産予定日,38624,しゅっさんよていび,expected date of confinement
最高指導者,38993,さいこうしどうしゃ,supreme leader
道路交通法,39404,どうろこうつうほう,Road Traffic Law
選手権大会,39407,せんしゅけんたいかい,championship series
不平等条約,39603,ふびょうどうじょうやく,unequal treaty
公安委員会,39715,こうあんいいんかい,public safety commission
公安調査庁,39716,こうあんちょうさちょう,(Japanese) Public Security Intelligence Agency
公認会計士,39718,こうにんかいけいし,certified public accountant
医療従事者,39775,いりょうじゅうじしゃ,health care provider
国選弁護人,39853,こくせんべんごにん,court-appointed attorney
報道関係者,39867,ほうどうかんけいしゃ,news media
多国籍企業,39883,たこくせききぎょう,multinational corporation
多臓器不全,39884,たぞうきふぜん,multiple organ dysfunction syndrome
太陽光発電,39906,たいようこうはつでん,solar power (generation)
希望的観測,39980,きぼうてきかんそく,wishful thinking
救急救命士,40091,きゅうきゅうきゅうめいし,paramedic
王位継承者,40283,おういけいしょうしゃ,heir to a throne
運転免許証,40562,うんてんめんきょしょう,driver's license
高速増殖炉,40662,こうそくぞうしょくろ,fast-breeder reactor
一事不再理,40742,いちじふさいり,ne bis in idem
取扱説明書,40960,とりあつかいせつめいしょ,user's manual
地方公務員,41006,ちほうこうむいん,local government employee
